Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,PRESSURE_FORCE_X,PRESSURE_FORCE_Y,PRESSURE_FORCE_Z,PRESSURE_MOMENT_X,PRESSURE_MOMENT_Y,PRESSURE_MOMENT_Z,VISCOUS_FORCE_X,VISCOUS_FORCE_Y,VISCOUS_FORCE_Z,VISCOUS_MOMENT_X,VISCOUS_MOMENT_Y,VISCOUS_MOMENT_Z
54,0.8238198799,-1.749322873,711.9154242,176.7301966,-1642.223595,-584.6628555,3955.053644,-52.93913513,60.65297595,3.225172705,1.729590123,-0.2450113749,19.74941332,-28.80575504
55,0.8185076843,-1.75238483,707.0844633,174.9458075,-1645.125211,-585.1504953,3955.235862,-52.37515059,60.50222353,3.226645768,1.759740796,-0.2161719958,19.57491245,-28.79408468
56,0.813235572,-1.755717067,702.3008616,173.6387678,-1648.277066,-585.9230445,3956.863851,-50.73131898,60.34170153,3.227379448,1.786663887,-0.1906054754,19.40904416,-28.76842583
57,0.8082587584,-1.758969068,697.7882105,172.6215059,-1651.355349,-586.771957,3959.323033,-48.67341766,60.18715651,3.228185431,1.815259684,-0.1645409692,19.2387063,-28.74067159
58,0.8034466504,-1.76240971,693.4396366,171.9115702,-1654.604071,-587.950008,3963.163409,-46.10804682,60.02299335,3.229701204,1.837387784,-0.1442775814,19.08403395,-28.69778142
59,0.7991413201,-1.766267792,689.5592491,171.3700806,-1658.242425,-589.3656161,3968.944545,-43.16358376,59.86589371,3.232821096,1.857679604,-0.1260379503,18.93417204,-28.65389394
60,0.7950751164,-1.771124116,685.9135479,171.0341336,-1662.807347,-591.3145431,3977.470818,-39.56068486,59.69835788,3.236501983,1.868398842,-0.114893505,18.80912988,-28.59604911
61,0.7913761742,-1.776301145,682.6060613,170.7649563,-1667.669959,-593.373564,3986.90368,-35.8479041,59.53702082,3.241478503,1.876055182,-0.1060109558,18.69635455,-28.53574098
62,0.7880534228,-1.782007651,679.6621017,170.6547678,-1673.020177,-595.839993,3997.316906,-32.04902669,59.36494402,3.247044827,1.874780538,-0.1034504017,18.61207966,-28.45912453
63,0.785517388,-1.787404235,677.4492521,170.5412369,-1678.078449,-598.3819669,4007.476368,-28.80702032,59.19953059,3.253331624,1.872200004,-0.1013706424,18.53818434,-28.37981049
64,0.7835041336,-1.793101624,675.7371144,170.4096817,-1683.411408,-601.3426963,4018.322098,-25.94694884,59.02366247,3.259571478,1.862216006,-0.1042893533,18.49202203,-28.28338343
65,0.7820700474,-1.798734295,674.560354,170.1145199,-1688.682974,-604.3355416,4028.855781,-23.6609909,58.85555406,3.265728456,1.851531695,-0.1072762731,18.45542173,-28.1848682
66,0.7808926649,-1.805089581,673.634321,169.826886,-1694.624393,-607.7824528,4040.054484,-21.55250764,58.67745185,3.270750994,1.833038841,-0.1153765594,18.44405351,-28.07353761
67,0.7800934998,-1.811661055,673.0564366,169.5220492,-1700.767445,-611.3298107,4050.72239,-20.00289968,58.50588884,3.274737857,1.813441782,-0.1234256552,18.43909457,-27.96402845
68,0.7794199917,-1.818495227,672.6069453,169.3117091,-1707.150482,-615.0929878,4060.75034,-18.64481648,58.32377238,3.277368046,1.787474753,-0.1355308003,18.45255374,-27.84420219
69,0.7790970103,-1.824937785,672.4777973,169.07517,-1713.167576,-618.6793627,4069.389394,-17.65227518,58.15003229,3.279797411,1.762814416,-0.1463038979,18.46257943,-27.7296339
70,0.7789379604,-1.831005592,672.5110458,168.7976757,-1718.828996,-622.200433,4077.322793,-17.05589485,57.96762861,3.280938148,1.733917577,-0.1598487991,18.48164026,-27.60898955
71,0.7790145784,-1.836460708,672.7555329,168.3276279,-1723.919019,-625.4050668,4084.653195,-17.14672219,57.79499294,3.280661236,1.708199186,-0.1701971813,18.48826376,-27.49834482
72,0.779095848,-1.841302498,673.0112384,167.7544794,-1728.429862,-628.4449438,4091.364757,-17.43196082,57.61550116,3.277693064,1.678469441,-0.1827147003,18.50163173,-27.3870663
73,0.7794205173,-1.845037577,673.4834823,167.058482,-1731.905232,-630.9441232,4095.865432,-18.0761044,57.44772826,3.273230073,1.651126836,-0.1925237692,18.50475957,-27.28817302
74,0.7796957753,-1.847791113,673.9144444,166.2526147,-1734.457509,-632.9467988,4098.150423,-18.92632318,57.27489973,3.26765474,1.621170978,-0.2037769448,18.51201242,-27.18731063
75,0.7799038329,-1.849646048,674.2681684,165.38048,-1736.170439,-634.3434082,4098.765698,-20.02999006,57.11628966,3.262295989,1.594564783,-0.2118836293,18.50712413,-27.09598264
76,0.7798321439,-1.850995287,674.3629888,164.6019474,-1737.40655,-635.5104761,4098.834729,-21.080568,56.9542402,3.256947844,1.565376001,-0.2217307486,18.50700612,-27.00011692
77,0.7796409695,-1.851614283,674.3305954,163.8475204,-1737.961215,-636.3002612,4098.174464,-22.18884955,56.80735255,3.252403364,1.539553813,-0.2288346729,18.49502562,-26.91428181
78,0.7792632739,-1.851714886,674.1262062,163.0489721,-1738.027074,-636.9168195,4097.194906,-23.14014438,56.65754338,3.249171097,1.511069014,-0.238366872,18.48730328,-26.82181025
79,0.7790765567,-1.851159021,674.0868643,162.0704995,-1737.481829,-637.1048124,4095.298847,-24.42653359,56.52178414,3.247526757,1.487107763,-0.2451022187,18.46578342,-26.7357737
80,0.7788816415,-1.850205322,674.0446511,160.9824137,-1736.561398,-637.0527673,4092.626827,-25.88348419,56.38120812,3.246644242,1.461043263,-0.2536153485,18.44716343,-26.6408672
81,0.7788270668,-1.848704305,674.1202035,159.7098811,-1735.131786,-636.6180431,4088.987659,-27.82115448,56.25447625,3.246633295,1.439067479,-0.258811887,18.41706726,-26.55150959
82,0.7786872478,-1.846854682,674.1200148,158.2970685,-1733.373983,-636.0371433,4084.983816,-30.11317347,56.12354443,3.246397576,1.415819054,-0.2651535369,18.3917627,-26.45545614
83,0.7787517713,-1.844650008,674.2978867,156.7015481,-1731.289135,-635.1955908,4080.815552,-33.05306086,56.00618178,3.246081007,1.398487405,-0.2670233541,18.35335845,-26.36607631
84,0.7790114673,-1.842479285,674.6634353,154.9761526,-1729.235715,-634.3881474,4077.332925,-36.39583294,55.88417309,3.244903959,1.38074509,-0.2693479681,18.31841602,-26.27044126
85,0.7795466706,-1.840252508,675.2748214,153.1483666,-1727.135609,-633.4873662,4073.837323,-40.04156792,55.77469419,3.243377128,1.368884635,-0.2673073759,18.27117268,-26.18116466
86,0.7799126597,-1.838029099,675.7327859,151.234343,-1725.038018,-632.6267067,4070.18757,-43.75158076,55.6599499,3.24106661,1.356379924,-0.2661787641,18.22850165,-26.08575537
87,0.780140732,-1.83513648,676.0493488,149.1633785,-1722.318306,-631.415747,4064.711715,-47.78347126,55.55727046,3.238961332,1.349330979,-0.2616629366,18.17444551,-25.99711045
88,0.7801788619,-1.831962126,676.1938276,147.0455002,-1719.333263,-630.1285501,4058.229818,-51.97555623,55.44854939,3.236099186,1.341159137,-0.2591194769,18.12655021,-25.90264849
89,0.7803204419,-1.828917053,676.4241691,144.9030596,-1716.474297,-628.8240736,4051.630821,-56.62411174,55.35097992,3.232503099,1.337825336,-0.2535585261,18.06863763,-25.81615988
90,0.7802760689,-1.826769017,676.4873099,142.7837198,-1714.454229,-627.9745492,4046.615084,-61.51330616,55.24622667,3.227334467,1.332160715,-0.2504323838,18.01955413,-25.72589661
91,0.7799465461,-1.825240612,676.273119,140.7823808,-1713.018473,-627.3553413,4042.28685,-66.46798968,55.15139503,3.222048534,1.329724124,-0.2454886701,17.96445643,-25.64316461
92,0.7790784827,-1.823976678,675.5615694,139.162842,-1711.827535,-627.0023983,4037.472087,-70.9219968,55.04888525,3.216738787,1.324088496,-0.2440071496,17.9205598,-25.55363372
93,0.7779307986,-1.8224573,674.5776377,138.0099547,-1710.400526,-626.6109875,4031.26524,-74.94332414,54.95653253,3.212088298,1.321934569,-0.2404806311,17.86968309,-25.47103198
94,0.7766011346,-1.82119392,673.4305043,137.2553478,-1709.210622,-626.5084618,4025.379499,-78.70797229,54.85672298,3.207134556,1.316812732,-0.2399167266,17.82974315,-25.38305159
95,0.775371608,-1.820313936,672.3674302,136.7069581,-1708.383033,-626.5344222,4020.587267,-82.6353305,54.76676174,3.203158345,1.314462523,-0.2379146669,17.78428645,-25.30131702
96,0.7740137567,-1.820067709,671.1921614,136.4811881,-1708.14574,-626.9154019,4017.369612,-86.20473567,54.66865393,3.19962774,1.308077522,-0.2396961929,17.75115006,-25.21277341
97,0.7726835165,-1.819933389,670.0331487,136.6172593,-1708.015837,-627.3627799,4014.354476,-89.53039451,54.58018324,3.197466801,1.304138105,-0.2401001175,17.71260095,-25.13085421
98,0.7711942683,-1.819878291,668.7325693,137.2010098,-1707.956782,-628.0580314,4011.184264,-92.24678115,54.48416365,3.196500059,1.296753555,-0.2439408715,17.68476089,-25.04179752
99,0.7698469091,-1.819890601,667.554214,138.0828345,-1707.964538,-628.7796109,4007.903056,-94.73505607,54.39898165,3.197474138,1.2929653,-0.2458399396,17.65008111,-24.95898907
100,0.7686320047,-1.820478217,666.5056921,139.049184,-1708.509143,-629.789964,4005.580023,-97.23157504,54.30818069,3.199972484,1.286511346,-0.2507390314,17.62521615,-24.86907247
101,0.7677625447,-1.821554153,665.768916,139.8844275,-1709.515612,-630.8844092,4004.061197,-100.132027,54.22958765,3.204958288,1.283981094,-0.2536280801,17.59349931,-24.78484142
